number,state,value,params
26,PRUNED,0.7027777777777777,"{""activation_0"": ""sigmoid"", ""activation_1"": ""relu"", ""batch_size"": 64, ""lr"": 0.15446098963514487, ""max_epochs"": 2450, ""n_layers"": 2, ""patience"": 26, ""units_0"": 256, ""units_1"": 256}"
27,PRUNED,0.6472222222222223,"{""activation_0"": ""relu"", ""batch_size"": 512, ""lr"": 0.061559458524209514, ""max_epochs"": 2250, ""n_layers"": 1, ""patience"": 20, ""units_0"": 128}"
28,COMPLETE,0.9861111111111112,"{""activation_0"": ""relu"", ""activation_1"": ""relu"", ""batch_size"": 32, ""lr"": 0.38280807582202075, ""max_epochs"": 2950, ""n_layers"": 2, ""patience"": 30, ""units_0"": 512, ""units_1"": 2048}"
29,COMPLETE,0.9805555555555555,"{""activation_0"": ""relu"", ""activation_1"": ""relu"", ""activation_2"": ""relu"", ""batch_size"": 32, ""lr"": 0.3439427018234273, ""max_epochs"": 250, ""n_layers"": 3, ""patience"": 30, ""units_0"": 512, ""units_1"": 2048, ""units_2"": 512}"
30,PRUNED,0.925,"{""activation_0"": ""relu"", ""activation_1"": ""sigmoid"", ""batch_size"": 32, ""lr"": 0.3514976411119809, ""max_epochs"": 1250, ""n_layers"": 2, ""patience"": 23, ""units_0"": 512, ""units_1"": 2048}"
31,PRUNED,0.9611111111111111,"{""activation_0"": ""relu"", ""activation_1"": ""relu"", ""batch_size"": 32, ""lr"": 0.20704922359022945, ""max_epochs"": 3050, ""n_layers"": 2, ""patience"": 28, ""units_0"": 2048, ""units_1"": 10}"
32,COMPLETE,0.9833333333333333,"{""activation_0"": ""relu"", ""batch_size"": 64, ""lr"": 0.2760142941758583, ""max_epochs"": 2750, ""n_layers"": 1, ""patience"": 37, ""units_0"": 4096}"
33,COMPLETE,0.9833333333333333,"{""activation_0"": ""relu"", ""activation_1"": ""relu"", ""batch_size"": 32, ""lr"": 0.4111073849117384, ""max_epochs"": 2950, ""n_layers"": 2, ""patience"": 32, ""units_0"": 512, ""units_1"": 1024}"
34,PRUNED,0.9472222222222222,"{""activation_0"": ""relu"", ""batch_size"": 256, ""lr"": 0.07929246378243433, ""max_epochs"": 2450, ""n_layers"": 1, ""patience"": 35, ""units_0"": 8192}"
35,PRUNED,0.9388888888888889,"{""activation_0"": ""relu"", ""batch_size"": 128, ""lr"": 0.24695949605357795, ""max_epochs"": 2850, ""n_layers"": 1, ""patience"": 38, ""units_0"": 256}"
36,PRUNED,0.9333333333333333,"{""activation_0"": ""sigmoid"", ""batch_size"": 32, ""lr"": 0.28294438926457594, ""max_epochs"": 2550, ""n_layers"": 1, ""patience"": 29, ""units_0"": 512}"
37,PRUNED,0.95,"{""activation_0"": ""relu"", ""activation_1"": ""relu"", ""batch_size"": 128, ""lr"": 0.1906575721521553, ""max_epochs"": 650, ""n_layers"": 2, ""patience"": 36, ""units_0"": 8192, ""units_1"": 64}"
38,PRUNED,0.2861111111111111,"{""activation_0"": ""relu"", ""activation_1"": ""relu"", ""activation_2"": ""sigmoid"", ""batch_size"": 256, ""lr"": 0.032079326606066695, ""max_epochs"": 2250, ""n_layers"": 3, ""patience"": 38, ""units_0"": 32, ""units_1"": 8192, ""units_2"": 64}"
39,PRUNED,0.8111111111111111,"{""activation_0"": ""sigmoid"", ""batch_size"": 32, ""lr"": 0.09954652072545278, ""max_epochs"": 1750, ""n_layers"": 1, ""patience"": 33, ""units_0"": 64}"
40,PRUNED,0.9611111111111111,"{""activation_0"": ""relu"", ""activation_1"": ""relu"", ""batch_size"": 64, ""lr"": 0.1307917063425621, ""max_epochs"": 250, ""n_layers"": 2, ""patience"": 27, ""units_0"": 2048, ""units_1"": 32}"
41,PRUNED,0.975,"{""activation_0"": ""relu"", ""batch_size"": 64, ""lr"": 0.40247348175244824, ""max_epochs"": 2750, ""n_layers"": 1, ""patience"": 30, ""units_0"": 4096}"
42,PRUNED,0.975,"{""activation_0"": ""relu"", ""batch_size"": 64, ""lr"": 0.4047513985705329, ""max_epochs"": 2650, ""n_layers"": 1, ""patience"": 21, ""units_0"": 4096}"
43,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3213442571056101, ""max_epochs"": 2950, ""n_layers"": 1, ""patience"": 25, ""units_0"": 512}"
44,PRUNED,0.9611111111111111,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.07151418503833769, ""max_epochs"": 2850, ""n_layers"": 1, ""patience"": 17, ""units_0"": 512}"
45,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.2898482359688325, ""max_epochs"": 3050, ""n_layers"": 1, ""patience"": 14, ""units_0"": 512}"
46,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.30170750697835663, ""max_epochs"": 3050, ""n_layers"": 1, ""patience"": 14, ""units_0"": 512}"
47,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.2872018560065481, ""max_epochs"": 950, ""n_layers"": 1, ""patience"": 13, ""units_0"": 512}"
48,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.30490182495732365, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 13, ""units_0"": 512}"
49,PRUNED,0.9694444444444444,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.17490771282740544, ""max_epochs"": 1450, ""n_layers"": 1, ""patience"": 16, ""units_0"": 512}"
50,PRUNED,0.9333333333333333,"{""activation_0"": ""sigmoid"", ""batch_size"": 16, ""lr"": 0.22381393357496118, ""max_epochs"": 850, ""n_layers"": 1, ""patience"": 15, ""units_0"": 512}"
51,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3071050992741655, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 12, ""units_0"": 512}"
52,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3142952090524517, ""max_epochs"": 950, ""n_layers"": 1, ""patience"": 14, ""units_0"": 512}"
53,PRUNED,0.9527777777777777,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.26520615226574923, ""max_epochs"": 950, ""n_layers"": 1, ""patience"": 18, ""units_0"": 10}"
54,PRUNED,0.975,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.23612846879097035, ""max_epochs"": 1350, ""n_layers"": 1, ""patience"": 12, ""units_0"": 512}"
55,PRUNED,0.9805555555555555,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.17741706805939292, ""max_epochs"": 3050, ""n_layers"": 1, ""patience"": 14, ""units_0"": 1024}"
56,PRUNED,0.9611111111111111,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3232951617848469, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 11, ""units_0"": 16}"
57,PRUNED,0.9805555555555555,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.44848859304284683, ""max_epochs"": 650, ""n_layers"": 1, ""patience"": 18, ""units_0"": 512}"
58,PRUNED,0.9694444444444444,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.1331712986994213, ""max_epochs"": 850, ""n_layers"": 1, ""patience"": 13, ""units_0"": 128}"
59,PRUNED,0.9722222222222222,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.20023022027125004, ""max_epochs"": 1550, ""n_layers"": 1, ""patience"": 15, ""units_0"": 512}"
60,PRUNED,0.6972222222222222,"{""activation_0"": ""sigmoid"", ""batch_size"": 128, ""lr"": 0.2927967501790118, ""max_epochs"": 2850, ""n_layers"": 1, ""patience"": 10, ""units_0"": 512}"
61,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3122784494007227, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 12, ""units_0"": 512}"
62,PRUNED,0.975,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.25675130187091183, ""max_epochs"": 950, ""n_layers"": 1, ""patience"": 12, ""units_0"": 512}"
63,PRUNED,0.9527777777777777,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.050751508998700214, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 13, ""units_0"": 512}"
64,PRUNED,0.975,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.45639532549246525, ""max_epochs"": 1250, ""n_layers"": 1, ""patience"": 11, ""units_0"": 32}"
65,PRUNED,0.9527777777777777,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.35283080201437367, ""max_epochs"": 1650, ""n_layers"": 1, ""patience"": 15, ""units_0"": 10}"
66,PRUNED,0.975,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.23383784491847281, ""max_epochs"": 1350, ""n_layers"": 1, ""patience"": 19, ""units_0"": 512}"
67,PRUNED,0.9638888888888889,"{""activation_0"": ""relu"", ""batch_size"": 128, ""lr"": 0.3570049797910055, ""max_epochs"": 850, ""n_layers"": 1, ""patience"": 16, ""units_0"": 1024}"
68,PRUNED,0.9611111111111111,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.08607136584181338, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 25, ""units_0"": 64}"
69,PRUNED,0.9638888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.11380569964568928, ""max_epochs"": 550, ""n_layers"": 1, ""patience"": 13, ""units_0"": 256}"
70,PRUNED,0.9694444444444444,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.010883549587048971, ""max_epochs"": 2950, ""n_layers"": 1, ""patience"": 10, ""units_0"": 8192}"
71,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.29990721088208505, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 14, ""units_0"": 512}"
72,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.322461094354915, ""max_epochs"": 950, ""n_layers"": 1, ""patience"": 16, ""units_0"": 512}"
73,PRUNED,0.9777777777777777,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.2806376342755505, ""max_epochs"": 550, ""n_layers"": 1, ""patience"": 14, ""units_0"": 512}"
74,PRUNED,0.7111111111111111,"{""activation_0"": ""relu"", ""batch_size"": 128, ""lr"": 0.06393310865430074, ""max_epochs"": 750, ""n_layers"": 1, ""patience"": 12, ""units_0"": 16}"
75,PRUNED,0.9388888888888889,"{""activation_0"": ""relu"", ""batch_size"": 256, ""lr"": 0.3741843786039803, ""max_epochs"": 3050, ""n_layers"": 1, ""patience"": 23, ""units_0"": 512}"
76,PRUNED,0.9583333333333334,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.49040514340661406, ""max_epochs"": 1350, ""n_layers"": 1, ""patience"": 15, ""units_0"": 2048}"
77,PRUNED,0.9361111111111111,"{""activation_0"": ""sigmoid"", ""batch_size"": 16, ""lr"": 0.2188825011447867, ""max_epochs"": 950, ""n_layers"": 1, ""patience"": 11, ""units_0"": 512}"
78,PRUNED,0.9583333333333334,"{""activation_0"": ""relu"", ""batch_size"": 128, ""lr"": 0.2528274401250481, ""max_epochs"": 2950, ""n_layers"": 1, ""patience"": 14, ""units_0"": 8192}"
79,PRUNED,0.975,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.33530275621507255, ""max_epochs"": 2650, ""n_layers"": 1, ""patience"": 18, ""units_0"": 128}"
80,PRUNED,0.9027777777777778,"{""activation_0"": ""relu"", ""batch_size"": 512, ""lr"": 0.17490086935823695, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 20, ""units_0"": 512}"
