number,state,value,params
120,PRUNED,0.9527777777777777,"{""activation_0"": ""sigmoid"", ""batch_size"": 16, ""lr"": 0.2448797561095883, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 15, ""units_0"": 256}"
121,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.33318560471114717, ""max_epochs"": 1450, ""n_layers"": 1, ""patience"": 14, ""units_0"": 512}"
122,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.31244793787426034, ""max_epochs"": 1650, ""n_layers"": 1, ""patience"": 12, ""units_0"": 512}"
123,PRUNED,0.9805555555555555,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.2965793030929722, ""max_epochs"": 950, ""n_layers"": 1, ""patience"": 12, ""units_0"": 512}"
124,PRUNED,0.9555555555555556,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.05611934112503296, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 11, ""units_0"": 512}"
125,PRUNED,0.95,"{""activation_0"": ""relu"", ""batch_size"": 32, ""lr"": 0.3715891955472319, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 35, ""units_0"": 10}"
126,PRUNED,0.9777777777777777,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.21900614218280542, ""max_epochs"": 3050, ""n_layers"": 1, ""patience"": 13, ""units_0"": 64}"
127,PRUNED,0.9777777777777777,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.26260840135389524, ""max_epochs"": 850, ""n_layers"": 1, ""patience"": 32, ""units_0"": 512}"
128,PRUNED,0.9638888888888889,"{""activation_0"": ""relu"", ""batch_size"": 128, ""lr"": 0.3097390699071997, ""max_epochs"": 2950, ""n_layers"": 1, ""patience"": 14, ""units_0"": 1024}"
129,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.35228648457443495, ""max_epochs"": 1250, ""n_layers"": 1, ""patience"": 11, ""units_0"": 512}"
130,PRUNED,0.9805555555555555,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.2794831106380589, ""max_epochs"": 950, ""n_layers"": 1, ""patience"": 12, ""units_0"": 4096}"
131,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.384682006354331, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 16, ""units_0"": 512}"
132,PRUNED,0.9666666666666667,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.09612389835635152, ""max_epochs"": 950, ""n_layers"": 1, ""patience"": 15, ""units_0"": 512}"
133,PRUNED,0.9833333333333333,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.40992751228578533, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 19, ""units_0"": 512}"
134,COMPLETE,0.9916666666666667,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3664540932651393, ""max_epochs"": 1350, ""n_layers"": 1, ""patience"": 14, ""units_0"": 512}"
135,PRUNED,0.9611111111111111,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.246801357749576, ""max_epochs"": 1450, ""n_layers"": 1, ""patience"": 14, ""units_0"": 16}"
136,PRUNED,0.9694444444444444,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3039307744150228, ""max_epochs"": 1250, ""n_layers"": 1, ""patience"": 13, ""units_0"": 2048}"
137,PRUNED,0.9361111111111111,"{""activation_0"": ""relu"", ""batch_size"": 256, ""lr"": 0.34640249485241087, ""max_epochs"": 1350, ""n_layers"": 1, ""patience"": 12, ""units_0"": 512}"
138,PRUNED,0.9805555555555555,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.28847266922860226, ""max_epochs"": 1550, ""n_layers"": 1, ""patience"": 14, ""units_0"": 512}"
139,PRUNED,0.975,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.32432023578702657, ""max_epochs"": 1350, ""n_layers"": 1, ""patience"": 29, ""units_0"": 128}"
140,PRUNED,0.9444444444444444,"{""activation_0"": ""relu"", ""batch_size"": 128, ""lr"": 0.22891246643257152, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 10, ""units_0"": 512}"
141,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.37853888368409316, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 15, ""units_0"": 512}"
142,PRUNED,0.975,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.41931351398844574, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 16, ""units_0"": 512}"
143,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.367989433539278, ""max_epochs"": 750, ""n_layers"": 1, ""patience"": 13, ""units_0"": 512}"
144,PRUNED,0.9666666666666667,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.2623155547001389, ""max_epochs"": 1450, ""n_layers"": 1, ""patience"": 17, ""units_0"": 8192}"
145,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3190897789499576, ""max_epochs"": 2850, ""n_layers"": 1, ""patience"": 15, ""units_0"": 512}"
146,PRUNED,0.9777777777777777,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.44160570965766177, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 13, ""units_0"": 512}"
147,PRUNED,0.9111111111111111,"{""activation_0"": ""sigmoid"", ""batch_size"": 64, ""lr"": 0.3472286392883919, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 11, ""units_0"": 512}"
148,PRUNED,0.9777777777777777,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.2819360472303018, ""max_epochs"": 1250, ""n_layers"": 1, ""patience"": 14, ""units_0"": 512}"
149,PRUNED,0.9305555555555556,"{""activation_0"": ""relu"", ""batch_size"": 512, ""lr"": 0.3951619697663855, ""max_epochs"": 750, ""n_layers"": 1, ""patience"": 16, ""units_0"": 512}"
150,PRUNED,0.9722222222222222,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3071708830566873, ""max_epochs"": 1650, ""n_layers"": 1, ""patience"": 12, ""units_0"": 32}"
151,PRUNED,0.9805555555555555,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.30060516991982605, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 14, ""units_0"": 512}"
152,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3270884253092815, ""max_epochs"": 3050, ""n_layers"": 1, ""patience"": 15, ""units_0"": 512}"
153,PRUNED,0.9777777777777777,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.27045518048253486, ""max_epochs"": 850, ""n_layers"": 1, ""patience"": 13, ""units_0"": 512}"
154,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.351391435609547, ""max_epochs"": 950, ""n_layers"": 1, ""patience"": 22, ""units_0"": 512}"
155,PRUNED,0.9722222222222222,"{""activation_0"": ""relu"", ""batch_size"": 32, ""lr"": 0.2412759400696144, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 18, ""units_0"": 512}"
156,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.37185531190981086, ""max_epochs"": 2950, ""n_layers"": 1, ""patience"": 14, ""units_0"": 512}"
157,PRUNED,0.9777777777777777,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.07196470762398029, ""max_epochs"": 950, ""n_layers"": 1, ""patience"": 12, ""units_0"": 8192}"
158,PRUNED,0.9777777777777777,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.31043671768041325, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 13, ""units_0"": 256}"
159,PRUNED,0.1,"{""activation_0"": ""relu"", ""activation_1"": ""sigmoid"", ""activation_2"": ""relu"", ""batch_size"": 128, ""lr"": 0.28672705071756754, ""max_epochs"": 1250, ""n_layers"": 3, ""patience"": 11, ""units_0"": 64, ""units_1"": 256, ""units_2"": 32}"
160,PRUNED,0.9444444444444444,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3447169195834218, ""max_epochs"": 850, ""n_layers"": 1, ""patience"": 17, ""units_0"": 10}"
161,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.32328082453006335, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 15, ""units_0"": 512}"
162,PRUNED,0.9777777777777777,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.2610847918913488, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 15, ""units_0"": 512}"
163,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3308436621322691, ""max_epochs"": 1350, ""n_layers"": 1, ""patience"": 14, ""units_0"": 512}"
164,PRUNED,0.9805555555555555,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.29330180507249815, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 16, ""units_0"": 512}"
165,PRUNED,0.975,"{""activation_0"": ""relu"", ""activation_1"": ""sigmoid"", ""batch_size"": 16, ""lr"": 0.38431602298375206, ""max_epochs"": 1250, ""n_layers"": 2, ""patience"": 13, ""units_0"": 512, ""units_1"": 16}"
166,PRUNED,0.9777777777777777,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.31097769093298694, ""max_epochs"": 950, ""n_layers"": 1, ""patience"": 14, ""units_0"": 1024}"
167,PRUNED,0.9361111111111111,"{""activation_0"": ""relu"", ""batch_size"": 256, ""lr"": 0.27675586099440735, ""max_epochs"": 2350, ""n_layers"": 1, ""patience"": 12, ""units_0"": 512}"
168,PRUNED,0.9111111111111111,"{""activation_0"": ""sigmoid"", ""batch_size"": 16, ""lr"": 0.356838911800605, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 15, ""units_0"": 4096}"
169,PRUNED,0.95,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.49743925798483785, ""max_epochs"": 850, ""n_layers"": 1, ""patience"": 14, ""units_0"": 2048}"
170,PRUNED,0.9833333333333333,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.4256107801297732, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 16, ""units_0"": 512}"
171,PRUNED,0.9472222222222222,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.03654070163724469, ""max_epochs"": 1250, ""n_layers"": 1, ""patience"": 13, ""units_0"": 512}"
172,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3939972266600911, ""max_epochs"": 1250, ""n_layers"": 1, ""patience"": 37, ""units_0"": 512}"
173,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.33513332805181834, ""max_epochs"": 1350, ""n_layers"": 1, ""patience"": 13, ""units_0"": 512}"
174,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3758187291554096, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 12, ""units_0"": 512}"
175,PRUNED,0.9611111111111111,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.2988392393453184, ""max_epochs"": 950, ""n_layers"": 1, ""patience"": 26, ""units_0"": 16}"
176,PRUNED,0.9777777777777777,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.2617132824898715, ""max_epochs"": 1450, ""n_layers"": 1, ""patience"": 14, ""units_0"": 512}"
177,PRUNED,0.9555555555555556,"{""activation_0"": ""relu"", ""batch_size"": 128, ""lr"": 0.45309942583147295, ""max_epochs"": 150, ""n_layers"": 1, ""patience"": 13, ""units_0"": 512}"
178,PRUNED,0.975,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3247853075966302, ""max_epochs"": 3050, ""n_layers"": 1, ""patience"": 11, ""units_0"": 128}"
179,COMPLETE,0.9916666666666667,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.36131349825840486, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 15, ""units_0"": 512}"
180,PRUNED,0.9361111111111111,"{""activation_0"": ""relu"", ""batch_size"": 64, ""lr"": 0.06588693336619846, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 15, ""units_0"": 512}"
181,COMPLETE,0.9916666666666667,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.36649166185708676, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 28, ""units_0"": 512}"
182,PRUNED,0.9833333333333333,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.34468556858884464, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 27, ""units_0"": 512}"
183,PRUNED,0.9805555555555555,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.29473025458031216, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 25, ""units_0"": 512}"
184,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.35392350669575434, ""max_epochs"": 950, ""n_layers"": 1, ""patience"": 23, ""units_0"": 512}"
185,PRUNED,0.9638888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3067886968680695, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 31, ""units_0"": 8192}"
186,PRUNED,0.9305555555555556,"{""activation_0"": ""relu"", ""batch_size"": 512, ""lr"": 0.41046237505228644, ""max_epochs"": 1250, ""n_layers"": 1, ""patience"": 15, ""units_0"": 512}"
187,PRUNED,0.9777777777777777,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.27411262259047026, ""max_epochs"": 950, ""n_layers"": 1, ""patience"": 24, ""units_0"": 512}"
188,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.32014302555801644, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 33, ""units_0"": 512}"
189,PRUNED,0.9722222222222222,"{""activation_0"": ""relu"", ""batch_size"": 32, ""lr"": 0.24674498630749703, ""max_epochs"": 850, ""n_layers"": 1, ""patience"": 40, ""units_0"": 512}"
190,PRUNED,0.9722222222222222,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3696598907902582, ""max_epochs"": 1350, ""n_layers"": 1, ""patience"": 14, ""units_0"": 32}"
191,COMPLETE,0.9916666666666667,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3949267537462943, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 39, ""units_0"": 512}"
192,COMPLETE,0.9916666666666667,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3953609058110248, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 15, ""units_0"": 512}"
193,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3981073797528276, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 28, ""units_0"": 512}"
194,PRUNED,0.9777777777777777,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.4527759361007561, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 39, ""units_0"": 512}"
195,COMPLETE,0.9916666666666667,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3548214349181829, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 14, ""units_0"": 512}"
196,PRUNED,0.9555555555555556,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.059193805002733614, ""max_epochs"": 1250, ""n_layers"": 1, ""patience"": 38, ""units_0"": 512}"
197,PRUNED,0.975,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.43207281726517643, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 38, ""units_0"": 512}"
198,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.36743987201611034, ""max_epochs"": 2950, ""n_layers"": 1, ""patience"": 39, ""units_0"": 512}"
199,PRUNED,0.9444444444444444,"{""activation_0"": ""sigmoid"", ""batch_size"": 16, ""lr"": 0.394229850166219, ""max_epochs"": 1250, ""n_layers"": 1, ""patience"": 12, ""units_0"": 512}"
200,PRUNED,0.9138888888888889,"{""activation_0"": ""relu"", ""batch_size"": 128, ""lr"": 0.34415957238847816, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 21, ""units_0"": 10}"
201,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.329215152805008, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 14, ""units_0"": 512}"
202,PRUNED,0.9805555555555555,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.29804324589409237, ""max_epochs"": 950, ""n_layers"": 1, ""patience"": 16, ""units_0"": 512}"
203,PRUNED,0.9833333333333333,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.36395327189619964, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 34, ""units_0"": 256}"
204,PRUNED,0.9777777777777777,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.2809877889710131, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 37, ""units_0"": 512}"
205,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.31674025035881115, ""max_epochs"": 1550, ""n_layers"": 1, ""patience"": 15, ""units_0"": 512}"
206,PRUNED,0.9611111111111111,"{""activation_0"": ""relu"", ""activation_1"": ""sigmoid"", ""batch_size"": 16, ""lr"": 0.3476321916344429, ""max_epochs"": 3050, ""n_layers"": 2, ""patience"": 13, ""units_0"": 8192, ""units_1"": 4096}"
207,PRUNED,0.9666666666666667,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.4143144797628944, ""max_epochs"": 950, ""n_layers"": 1, ""patience"": 14, ""units_0"": 64}"
208,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.38777661070595815, ""max_epochs"": 1350, ""n_layers"": 1, ""patience"": 13, ""units_0"": 512}"
209,PRUNED,0.9805555555555555,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3047524696690624, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 14, ""units_0"": 512}"
210,PRUNED,0.9361111111111111,"{""activation_0"": ""relu"", ""batch_size"": 256, ""lr"": 0.279588014139071, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 40, ""units_0"": 512}"
211,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.33345856155705195, ""max_epochs"": 1250, ""n_layers"": 1, ""patience"": 15, ""units_0"": 512}"
212,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3243381744006351, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 16, ""units_0"": 512}"
213,COMPLETE,0.9916666666666667,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3626825277135376, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 15, ""units_0"": 512}"
214,PRUNED,0.9722222222222222,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.37036044089830733, ""max_epochs"": 950, ""n_layers"": 1, ""patience"": 15, ""units_0"": 1024}"
215,COMPLETE,0.9916666666666667,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.36715123654775705, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 17, ""units_0"": 512}"
216,PRUNED,0.9611111111111111,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.0808544881198444, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 17, ""units_0"": 512}"
217,PRUNED,0.9472222222222222,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.47214071445353567, ""max_epochs"": 850, ""n_layers"": 1, ""patience"": 16, ""units_0"": 4096}"
218,PRUNED,0.9861111111111112,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.406622944083212, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 26, ""units_0"": 512}"
219,COMPLETE,0.9916666666666667,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.35879875149346085, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 17, ""units_0"": 512}"
220,PRUNED,0.9722222222222222,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3554201517309881, ""max_epochs"": 1250, ""n_layers"": 1, ""patience"": 17, ""units_0"": 2048}"
221,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.37586928016408855, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 17, ""units_0"": 512}"
222,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.34291223299039547, ""max_epochs"": 950, ""n_layers"": 1, ""patience"": 18, ""units_0"": 512}"
223,PRUNED,0.9361111111111111,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.016210142781823936, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 16, ""units_0"": 512}"
224,PRUNED,0.9722222222222222,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.41491856904965935, ""max_epochs"": 1950, ""n_layers"": 1, ""patience"": 17, ""units_0"": 512}"
225,PRUNED,0.9611111111111111,"{""activation_0"": ""relu"", ""batch_size"": 64, ""lr"": 0.31635448247932074, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 39, ""units_0"": 512}"
226,PRUNED,0.9361111111111111,"{""activation_0"": ""relu"", ""batch_size"": 128, ""lr"": 0.35775187782818924, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 19, ""units_0"": 16}"
227,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3840838775425496, ""max_epochs"": 950, ""n_layers"": 1, ""patience"": 15, ""units_0"": 512}"
228,PRUNED,0.9805555555555555,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.2949032954050129, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 12, ""units_0"": 512}"
229,PRUNED,0.9027777777777778,"{""activation_0"": ""relu"", ""batch_size"": 512, ""lr"": 0.4376684105083984, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 14, ""units_0"": 128}"
230,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.32930995520271, ""max_epochs"": 850, ""n_layers"": 1, ""patience"": 16, ""units_0"": 512}"
231,PRUNED,0.9861111111111112,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3043848295983042, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 14, ""units_0"": 512}"
232,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3420801588131832, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 15, ""units_0"": 512}"
233,PRUNED,0.9777777777777777,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.2829412622230318, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 13, ""units_0"": 512}"
234,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3108840600452196, ""max_epochs"": 950, ""n_layers"": 1, ""patience"": 14, ""units_0"": 512}"
235,COMPLETE,0.9916666666666667,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3667212631153133, ""max_epochs"": 1250, ""n_layers"": 1, ""patience"": 12, ""units_0"": 512}"
236,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.38026228919301786, ""max_epochs"": 1250, ""n_layers"": 1, ""patience"": 12, ""units_0"": 512}"
237,PRUNED,0.9333333333333333,"{""activation_0"": ""sigmoid"", ""batch_size"": 16, ""lr"": 0.3679583913171648, ""max_epochs"": 1350, ""n_layers"": 1, ""patience"": 11, ""units_0"": 8192}"
238,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3995312922200692, ""max_epochs"": 1250, ""n_layers"": 1, ""patience"": 13, ""units_0"": 512}"
239,PRUNED,0.9722222222222222,"{""activation_0"": ""relu"", ""batch_size"": 32, ""lr"": 0.34273892894890245, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 11, ""units_0"": 512}"
240,COMPLETE,0.9916666666666667,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3538371094049424, ""max_epochs"": 1350, ""n_layers"": 1, ""patience"": 12, ""units_0"": 512}"
241,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3531828030299842, ""max_epochs"": 1450, ""n_layers"": 1, ""patience"": 12, ""units_0"": 512}"
242,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3318331756226838, ""max_epochs"": 1350, ""n_layers"": 1, ""patience"": 13, ""units_0"": 512}"
243,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.37601718452542654, ""max_epochs"": 3050, ""n_layers"": 1, ""patience"": 10, ""units_0"": 512}"
244,PRUNED,0.9777777777777777,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.4326846110888391, ""max_epochs"": 1250, ""n_layers"": 1, ""patience"": 12, ""units_0"": 512}"
245,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.32473543179622255, ""max_epochs"": 1450, ""n_layers"": 1, ""patience"": 13, ""units_0"": 512}"
246,COMPLETE,0.9916666666666667,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.39434137712157835, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 15, ""units_0"": 512}"
247,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.39932172483027617, ""max_epochs"": 1250, ""n_layers"": 1, ""patience"": 14, ""units_0"": 512}"
248,PRUNED,0.9805555555555555,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3005315000749674, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 15, ""units_0"": 512}"
249,PRUNED,0.9694444444444444,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3531427940949021, ""max_epochs"": 1350, ""n_layers"": 1, ""patience"": 12, ""units_0"": 32}"
250,PRUNED,0.9472222222222222,"{""activation_0"": ""relu"", ""batch_size"": 128, ""lr"": 0.26128530786216986, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 13, ""units_0"": 512}"
251,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.31786783931358265, ""max_epochs"": 1250, ""n_layers"": 1, ""patience"": 11, ""units_0"": 512}"
252,PRUNED,0.975,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.4212071035560953, ""max_epochs"": 2950, ""n_layers"": 1, ""patience"": 22, ""units_0"": 512}"
